municipality,province,latitude,longitude,surface_km2,surface_land_km2,surface_water_km2,population,avg_household_income_2012,avg_woz_2014,ww_ratio_2014,murders_2014,university,asylum_migrants_1999,asylum_migrants_2000,asylum_migrants_2001,asylum_migrants_2002,asylum_migrants_2003,asylum_migrants_2004,asylum_migrants_2005,asylum_migrants_2006,asylum_migrants_2007,asylum_migrants_2008,asylum_migrants_2009,asylum_migrants_2010,asylum_migrants_2011,asylum_migrants_2012,asylum_migrants_2013,asylum_migrants_2014,asylum_migrants_2015,flag_color1,flag_color2,flag_color3,flag_color4,shield_symbol_1,shield_symbol_2,shield_symbol_3,shieldholder_1,shieldholder_2,shield_crown
Aa en Hunze,Drenthe,53.010.485,6.749.528,278.9,276.4,2.5,25243,35500,225000,0.04,0,0,220,160,135,85,50,45,45,40,40,40,35,30,30,30,25,25,20,green,yellow,,,crown,cross,,deer,deer,crown
Aalburg,Noord-Brabant,51.751.294,5.057.085,53.2,50.4,2.8,12859,39100,249000,0.03,0,0,10,10,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,black,red,yellow,,wheel,lion,,,,crown
Aalsmeer,Noord-Holland,52.262.164,4.761.922,32.3,20.4,11.9,30792,40900,276000,0.03,0,0,70,70,70,75,70,70,65,65,60,60,60,60,55,60,60,60,55,red,green,black,,lion,eel,,,,
Aalten,Gelderland,51.926.667,6.580.678,97.0,96.5,0.5,27030,33300,194000,0.04,0,0,200,120,100,90,85,75,55,55,55,50,50,55,45,35,35,35,35,white,green,,,tree,sword,,,,crown
Achtkarspelen,Friesland,53.210.357,6.153.565,104.0,102.4,1.6,28002,30500,165000,0.06,0,0,95,75,65,40,40,40,35,35,35,30,25,30,25,25,25,25,25,white,red,green,blue,church,,,,,crown
Alblasserdam,Zuid-Holland,51.870.337,4.670.202,10.1,8.8,1.3,19822,35500,195000,0.03,0,0,90,85,85,85,85,90,85,80,75,75,70,70,70,70,65,65,60,yellow,red,,,lion,,,,,
Albrandswaard,Zuid-Holland,51.858.068,4.423.187,23.8,21.9,1.9,25044,42700,255000,0.03,1,0,60,75,75,75,65,65,60,60,65,70,75,70,70,75,70,70,70,red,yellow,white,blue,shield,,,,,crown
Alkmaar,Noord-Holland,52.632.842,4.755.037,31.2,29.3,1.9,94906,32300,181000,0.04,4,0,610,550,555,545,545,515,480,445,435,415,395,375,380,375,365,355,355,red,white,,,stronghold,,,lion,lion,laurel
Almelo,Overijssel,52.367.027,6.668.492,69.4,67.4,2.0,72435,31000,156000,0.05,3,0,595,570,515,530,555,530,530,530,525,525,530,535,545,530,520,510,510,blue,white,,,diamond,,,lion,lion,crown
Almere,Flevoland,52.350.785,5.264.702,248.8,129.6,119.2,196156,34900,182000,0.05,1,0,745,815,885,995,1110,1165,1215,1215,1295,1345,1360,1380,1375,1370,1360,1360,1355,red,yellow,blue,white,cog,lily,,seahorse,seahorse,crown
Alphen aan den Rijn,Zuid-Holland,52.111.222,4.647.251,132.5,126.6,5.9,106809,36900,220000,0.04,2,0,440,465,475,470,450,425,400,395,395,395,380,380,360,345,330,330,320,blue,white,yellow,,star,stronghold,,lion,lion,crown
Alphen-Chaam,Noord-Brabant,51.509.135,4.861.589,93.5,93.0,0.5,9712,40000,295000,0.03,0,0,20,20,25,25,25,20,15,15,10,10,10,10,10,10,10,10,10,green,white,,,mountain,comb,,bird,bird,crown
Ameland,Friesland,53.440.564,5.658.766,268.5,58.8,209.7,3565,31100,201000,0.08,0,0,25,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blue,yellow,black,white,moon,,,,,crown
Amersfoort,Utrecht,52.156.111,5.387.827,63.9,62.9,1.0,150943,36900,222000,0.04,3,0,1185,1225,1215,1210,1190,1195,1150,1110,1115,1115,1105,1090,1075,1060,1030,1020,1005,red,white,,,cross,,,lion,lion,crown
Amstelveen,Noord-Holland,52.311.421,4.870.087,44.1,41.5,2.6,85135,40200,257000,0.03,2,0,445,440,460,470,485,475,465,425,420,420,410,415,410,420,415,430,430,red,black,white,,cross,,,,,
Amsterdam,Noord-Holland,52.370.216,4.895.168,219.3,165.8,53.6,853312,31400,231000,0.04,23,2,4505,4655,4530,4425,4305,4185,3975,3815,3685,3645,3580,3565,3530,3470,3475,3405,3415,red,white,black,,cross,,,lion,lion,crown
Apeldoorn,Gelderland,52.211.157,5.969.923,341.2,339.9,1.2,157535,34800,208000,0.04,0,0,870,870,875,885,855,830,805,765,735,730,715,690,685,690,680,660,670,red,yellow,white,green,eagle,key,,,,
Appingedam,Groningen,53.320.678,6.854.422,24.6,23.8,0.8,12049,29800,142000,0.06,0,0,75,60,50,45,40,35,35,35,35,30,25,30,30,30,30,25,25,yellow,blue,green,red,pelican,,,,,crown
Arnhem,Gelderland,51.985.103,5.898.730,101.5,98.0,3.6,150817,30500,175000,0.05,1,0,1610,1645,1720,1725,1685,1630,1585,1510,1525,1515,1485,1485,1480,1455,1450,1455,1450,blue,white,,,eagle,,,lion,lion,crown
Assen,Drenthe,52.992.753,6.564.228,83.5,81.9,1.5,67209,32200,162000,0.04,0,0,525,465,450,440,410,405,395,380,385,375,365,360,340,335,320,315,310,blue,white,,,maria,jesus,,lion,lion,crown
Asten,Noord-Brabant,51.402.994,5.744.078,71.3,70.2,1.1,16479,35800,275000,0.05,0,0,55,60,60,55,50,45,45,50,45,50,45,45,35,30,40,40,35,white,red,yellow,black,cross,,,,,crown
Baarle-Nassau,Noord-Brabant,51.445.137,4.929.523,76.2,76.2,0.0,6617,35400,250000,0.04,0,0,25,25,20,20,20,15,10,10,10,10,10,10,5,5,5,5,5,blue,white,red,yellow,haystack,,,,,
Baarn,Utrecht,52.213.182,5.286.410,33.0,32.5,0.5,24344,38600,290000,0.04,0,0,100,110,110,115,120,115,105,95,95,85,80,80,75,70,70,70,75,blue,yellow,,,bishop,,,,,
Barendrecht,Zuid-Holland,51.851.509,4.548.581,21.7,19.8,1.9,47375,41600,244000,0.04,0,0,75,80,80,70,70,70,65,85,100,105,115,115,115,140,155,160,165,red,white,yellow,green,lion,,,,,
Barneveld,Gelderland,52.162.147,5.655.360,176.7,176.0,0.7,54176,38000,279000,0.03,0,0,185,185,195,180,185,155,150,145,135,135,130,130,120,110,110,105,100,blue,yellow,red,,butterfly,plant,sun,,,
